Organization,Repository
Kasma-Inc,Sagi
h2oai,browser-use
Agents-Labs,Multi-AI-Agents
LambdaLabsML,AI_Agent_Masterclass
TigerGraph-DevLabs,tigergraph-mcp
secureonelabs,AutoGPT
secureonelabs,langflow-main
shanhaiengine,xiaozhi-server
Natual-AI,natualai-hub
XSpoonAi,spoon-core
Mozilla-Ocho,AutoGPT
Qredence,Agentic-Kernel
Droll-Agents,meeting-preparation-agent
go-arlo,go-arlo-swarm
MemDreamDance,BrainDanceConsole
counterfake,browser-use
POC-2025,langflow
POC-2025,AutoGPT
MCP-Mirror,KunihiroS_mem0-mcp-for-pm
truefoundry,getting-started-examples
memory-orb,orb-backend
browser-use,browser-use
camel-ai,camel_web_app
Unity-for-manufacturing-assets-of-Unity,AutoGPT
MCP-Mirror,pinkpixel-dev_mem0-mcp
MCP-Mirror,mem0ai_mem0-mcp
OpenWorkspace-o1,ow-camel-mem0-memory
ibm-client-engineering,ITBench-CISO-CAA-Agent
NVIDIA,AgentIQ
aurovix,mentorai
splx-ai,agentic-radar
ai4nucleome,BioMaster
skilled-coderAI,coderAI
augment-test-org,openllmetry
hicsail,PREAA
Kifiya-Agentic-HR,Agentic-HR-System
CopilotKit,CopilotKit
withniva,embedchain
scalytics,langflow
Panorama-Block,agents
Geaux-Specialist-L-L-C,GA-MVP
VICoach,project-idea-generator-Makki
botbusiness-org,builder
langflow-ai,langflow
AzinAI-Group,AZ_AHD_Core
Singulix-Labs,AutoGPT
agntcy,csit
Learn-Aware,laai-server
tne-ai,AutoGPT
CS-Organize,AI
IBM,ITBench-CISO-CAA-Agent
Algoritic,genai_frameworks
AIX-oneTeam,travelPlaner_BackEnd
kernelpicomm,marketing-ai-backend
techloset,agentic-ai
zengjixiang-ai,Auto-GPT
Music-Admin,rag-development
khulnasoft,AutoAGI
AlphabaseLabs,x-content-agent
fork-the-planet,AutoGPT
A-SunsetMkt-Forks,Auto-GPT
AlphabaseLabs,crewai-multi-agents
LoveDoLove-Forked-Projects,AutoGPT
Significant-Gravitas,AutoGPT
UnBSMA2024-2,_G5_SMA_RecomendadorDeProdutos
traceloop,openllmetry
AI-Development-Studio,awesome-llm-apps
GitGuides,mem0
qodist-softwares-llp,product-description-analyser-be
TeamADAPT,AgentStack
prefeitura-rio,models_rj_sms
khulnasoft,awesome-llm-ai-agents
graphlit,AgentStack
ExamProCo,GenAI-Essentials
Geaux-Specialist-L-L-C,geauxcloud
direkshan-digital,shubham-saboo-awesome-llm-apps
orra-dev,orra
btlms,crewAI-examples
khulnasoft,langinfra-railway
eidolon-ai,browser-agent
HAI-Heritage-AI,HAI_Python
TeamADAPT,auto-using-crewAI-with-Ray-framework
TeamADAPT,crewAI-examples
TeamADAPT,crewAI
Market-GPT,ComplianceCrew
Geaux-Docs,agentcloud
relari-ai,agent-examples
openlit,openlit
SupaLlama,supallama-studio
M-Connect,CS5320_RESEARCH_PAPER_SOURCE_CODE_FINAL_Version
KalbeDigitalLab,DREAM_CS-TUTORIAL-PRICAI-2024
SolaceHarmony,MemGPT-Solace
BragAI,bRAG-langchain
IBM,watsonx-ai-platform-demos
eidolon-ai,agent-machine
HewlettPackard,llmesh
eidolon-ai,howto-custom-agent
AgentOps-AI,AgentStack
DigitalProductschool,AgenticAICoach
sciosci,mamorx-review-system
ComposioHQ,composio
aibtcdev,aibtcdev-backend
fork-the-planet,llama_index
run-llama,llama_index
Artificial-Synapse,Crewai_research_agents
skillrepos,genai-dd
Stekz,MyStekz-Focus-Group
tne-ai,langflow
agentic-earth,constellation
mmrech,crewAI-tools
HoneyAudio,honey-crew
ASSERT-KTH,SolidityStrikeHive
DigitalProductschool,AI-Makerspace
bentoml,BentoCrewAI
crewAIInc,crewAI-examples
Geaux-EDU,crewAI
Geaux-EDU,crewAIx
Geaux-EDU,crewAmazon
Geaux-EDU,Geaux-AI
moxin-org,mofa
PandaLakes,Contract_maker
eni-thinktank-science,langflow
ekline-io,ekline-mem0
rg-brain-labs,instituto-crewai
browserbase,crewai-tutorial
minorio-core,project-scoper
eidolon-ai,azure-llm
eidolon-ai,github-assistant
eidolon-ai,web-researcher
eidolon-ai,eidolon-s3-rag
eidolon-ai,eidolon-chatbot
eidolon-ai,eidolon-quickstart
eidolon-ai,eidolon-git-search
FalkorDB,mem0
kbaseincubator,narrative_llm_agent
Scale3-Labs,crewAI
ConcertIDC,ai-week-aug-2024
kd-research,Techies
AIAGENTSPROMPT,langflow
ucsd-nlp-mgta415,mgta415-nlp-demo
google-gemini,workshops
Our-Sci-LLC,wheres_the_wheelbarrow
AIDropout,mini
0xCarbon,MemGPT
letta-ai,letta
yaitec,Langflow-Streamlit-integration
yaitec,langflow-streamlit
Geaux-Specialist-L-L-C,geauxcrew
Geaux-Specialist-L-L-C,geaux-crewai
eidolon-ai,eidolon
AgiFlow,repo-upgrade
Scale3-Labs,langtrace-recipes
npi-ai,npi
mem0ai,friend-integration
ShoggothAI,motleycrew
rnadigital,agentcloud
iaprender,ai-agents-developers
paideia-ai,AxiiaGraph
gnosis,prediction-market-agent
mem0ai,mem0
